,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
Strategy,12,65,0.08,0.71,-0.26,11.874624221984964
Strategy,14,93,0.08,0.69,-0.3,11.86183908958141
Strategy,12,107,0.08,0.7,-0.25,11.846185170229926
Strategy,17,72,0.08,0.7,-0.28,11.825467047395588
Strategy,16,74,0.08,0.7,-0.25,11.824180487355132
Strategy,11,109,0.08,0.7,-0.29,11.800217004874092
Strategy,14,62,0.08,0.7,-0.26,11.795679449650347
Strategy,12,67,0.08,0.7,-0.28,11.716660083837676
Strategy,16,73,0.08,0.69,-0.28,11.716020323036474
Strategy,12,64,0.08,0.71,-0.25,11.715592434921806
Strategy,17,120,0.08,0.68,-0.26,11.693495421813203
Strategy,12,108,0.08,0.7,-0.26,11.685368691496295
Strategy,15,98,0.08,0.69,-0.29,11.677507445049388
Strategy,14,101,0.08,0.69,-0.3,11.643899071262162
Strategy,15,78,0.08,0.69,-0.3,11.624901234374283
Strategy,15,100,0.08,0.69,-0.3,11.603599733286574
Strategy,13,120,0.08,0.69,-0.29,11.592416771828942
Strategy,12,123,0.08,0.69,-0.3,11.59160715709076
Strategy,16,66,0.08,0.7,-0.26,11.560669712929135
Strategy,15,99,0.08,0.69,-0.29,11.536664853191239
Strategy,17,63,0.08,0.69,-0.29,11.494794663334066
Strategy,17,64,0.08,0.69,-0.28,11.48026816567674
Strategy,17,71,0.08,0.69,-0.29,11.447150779489194
Strategy,15,101,0.08,0.68,-0.3,11.425607714362023
Strategy,14,106,0.08,0.69,-0.26,11.425448752287751
Strategy,11,116,0.08,0.69,-0.3,11.417125248846162
Strategy,16,122,0.08,0.68,-0.28,11.413072969809944
Strategy,17,121,0.08,0.68,-0.3,11.39644398551925
Strategy,18,115,0.08,0.67,-0.27,11.382689666026831
Strategy,18,114,0.08,0.67,-0.26,11.370016878289261
Strategy,13,121,0.08,0.68,-0.29,11.365299018350104
Strategy,18,64,0.08,0.69,-0.28,11.358690731622652
Strategy,14,105,0.08,0.69,-0.29,11.355106597080427
Strategy,17,67,0.08,0.69,-0.29,11.353833962340461
Strategy,16,75,0.08,0.68,-0.26,11.345335343269472
Strategy,16,124,0.08,0.68,-0.29,11.337070631887777
Strategy,13,122,0.08,0.68,-0.3,11.327109812198511
Strategy,14,100,0.08,0.68,-0.29,11.318732755760932
Strategy,11,117,0.08,0.68,-0.3,11.314957826318661
Strategy,13,103,0.08,0.68,-0.3,11.311793004281988
Strategy,12,63,0.08,0.7,-0.28,11.29602994766445
Strategy,11,108,0.08,0.69,-0.28,11.262482965717568
Strategy,14,123,0.08,0.68,-0.3,11.219357620875273
Strategy,12,66,0.08,0.69,-0.27,11.216200084624743
Strategy,18,118,0.08,0.67,-0.28,11.197994300920081
Strategy,12,118,0.08,0.68,-0.28,11.176684986369919
Strategy,18,66,0.08,0.68,-0.3,11.13615993579102
Strategy,14,107,0.08,0.68,-0.27,11.13038752846001
Strategy,12,106,0.08,0.68,-0.27,11.126431903177421
Strategy,13,119,0.08,0.68,-0.29,11.119229214024104
Strategy,16,62,0.08,0.68,-0.29,11.087214887002816
Strategy,17,62,0.08,0.68,-0.28,11.068885996752147
Strategy,16,123,0.08,0.67,-0.3,11.059850414632681
Strategy,19,117,0.08,0.66,-0.29,11.007865749200603
Strategy,14,61,0.08,0.69,-0.26,11.00786087736922
Strategy,14,60,0.08,0.68,-0.3,11.004266082975622
Strategy,15,106,0.08,0.68,-0.29,10.998199356240587
Strategy,13,118,0.08,0.67,-0.27,10.95642290170589
Strategy,14,116,0.08,0.67,-0.25,10.95226282069135
Strategy,16,121,0.08,0.67,-0.27,10.930945574735567
Strategy,19,116,0.08,0.66,-0.3,10.92429406650802
Strategy,12,109,0.08,0.68,-0.28,10.906158269235714
Strategy,16,76,0.08,0.67,-0.29,10.905521017485984
Strategy,10,60,0.08,0.69,-0.29,10.838753412987884
Strategy,16,67,0.08,0.68,-0.27,10.825279346900848
Strategy,18,65,0.08,0.68,-0.28,10.79481987155181
Strategy,11,60,0.08,0.69,-0.3,10.786378045466924
Strategy,17,118,0.08,0.66,-0.25,10.7620679312414
Strategy,13,61,0.08,0.68,-0.26,10.731992227837779
Strategy,18,63,0.08,0.67,-0.28,10.715003262687267
Strategy,17,119,0.08,0.66,-0.26,10.704407004382233
Strategy,16,61,0.08,0.67,-0.29,10.70175042208505
Strategy,19,115,0.08,0.65,-0.28,10.700214484686363
Strategy,13,63,0.08,0.68,-0.3,10.6989966938519
Strategy,16,77,0.08,0.67,-0.3,10.65961137115137
Strategy,18,113,0.08,0.65,-0.28,10.65681969492709
Strategy,15,107,0.08,0.67,-0.3,10.656147182576774
Strategy,15,61,0.08,0.67,-0.29,10.651865073456854
Strategy,18,62,0.08,0.67,-0.29,10.647393374518954
Strategy,14,124,0.08,0.66,-0.3,10.643942323326364
Strategy,12,117,0.08,0.66,-0.29,10.643851501708895
Strategy,11,61,0.08,0.68,-0.25,10.640014549175925
Strategy,14,117,0.08,0.66,-0.26,10.625531580701736
Strategy,14,108,0.08,0.67,-0.3,10.620185193861943
Strategy,13,62,0.08,0.68,-0.26,10.611298971419131
Strategy,11,59,0.08,0.69,-0.27,10.583856133720992
Strategy,13,115,0.08,0.67,-0.3,10.583304355781767
Strategy,13,110,0.08,0.67,-0.29,10.581186217175333
Strategy,18,119,0.08,0.65,-0.29,10.580293476428347
Strategy,10,55,0.08,0.69,-0.29,10.571941039244125
Strategy,17,74,0.08,0.66,-0.3,10.57083588669964
Strategy,15,124,0.08,0.65,-0.29,10.484944547433502
Strategy,19,62,0.07,0.67,-0.29,10.47954450470523
Strategy,12,110,0.08,0.66,-0.3,10.461014892267595
Strategy,14,120,0.08,0.66,-0.3,10.433576605484046
Strategy,17,75,0.07,0.66,-0.29,10.42095215476968
Strategy,11,55,0.07,0.68,-0.28,10.417868221329533
Strategy,18,67,0.07,0.66,-0.3,10.403737536891741
Strategy,14,118,0.07,0.66,-0.29,10.399549606869908
Strategy,13,105,0.07,0.66,-0.3,10.396853768401229
Strategy,15,122,0.07,0.65,-0.29,10.395175112907314
Strategy,13,106,0.07,0.66,-0.29,10.391850210584975
Strategy,11,54,0.07,0.68,-0.29,10.364525973594096
Strategy,12,62,0.07,0.67,-0.29,10.352617433783433
Strategy,12,116,0.07,0.66,-0.3,10.340659590625172
Strategy,10,56,0.07,0.68,-0.3,10.324081438357167
Strategy,14,115,0.07,0.66,-0.26,10.285286690270198
Strategy,10,59,0.07,0.68,-0.29,10.282217326870184
Strategy,13,117,0.07,0.66,-0.29,10.276953802278094
Strategy,17,117,0.07,0.65,-0.27,10.2724695271598
Strategy,15,121,0.07,0.65,-0.29,10.208676345358489
Strategy,19,112,0.07,0.64,-0.3,10.203389738216686
Strategy,15,120,0.07,0.65,-0.3,10.200397148980828
Strategy,17,76,0.07,0.65,-0.29,10.188893675194844
Strategy,10,54,0.07,0.68,-0.29,10.161948381905276
Strategy,19,113,0.07,0.64,-0.29,10.151170897480812
Strategy,15,114,0.07,0.65,-0.28,10.14915629444916
Strategy,15,108,0.07,0.65,-0.3,10.144989212153284
Strategy,15,60,0.07,0.66,-0.29,10.138217074348402
Strategy,17,116,0.07,0.64,-0.27,10.135408501582294
Strategy,11,50,0.07,0.67,-0.27,10.103652883699105
Strategy,16,120,0.07,0.64,-0.28,10.095236782810959
Strategy,15,115,0.07,0.65,-0.29,10.06464516835421
Strategy,10,51,0.07,0.67,-0.29,10.057644784717022
Strategy,10,52,0.07,0.67,-0.28,10.04264240871539
Strategy,18,61,0.07,0.65,-0.29,10.019507497532574
Strategy,15,118,0.07,0.65,-0.28,10.015776123830058
Strategy,14,119,0.07,0.65,-0.3,10.013497281088231
Strategy,19,114,0.07,0.63,-0.29,9.995063503854938
Strategy,13,107,0.07,0.65,-0.3,9.989197283790176
Strategy,11,58,0.07,0.67,-0.28,9.951530814903808
Strategy,15,119,0.07,0.65,-0.28,9.945009910685737
Strategy,15,116,0.07,0.65,-0.28,9.924911684785076
Strategy,17,114,0.07,0.63,-0.3,9.752001565138103
Strategy,17,115,0.07,0.63,-0.29,9.741737259917166
Strategy,15,113,0.07,0.64,-0.3,9.735350659357286
Strategy,18,112,0.07,0.63,-0.28,9.73033390784778
Strategy,11,53,0.07,0.66,-0.3,9.722928809092712
Strategy,11,51,0.07,0.66,-0.28,9.648474480266538
Strategy,17,82,0.07,0.64,-0.3,9.616703953158462
Strategy,14,113,0.07,0.64,-0.3,9.57077699067754
Strategy,14,114,0.07,0.63,-0.29,9.551368486362293
Strategy,10,53,0.07,0.66,-0.3,9.529219315711618
Strategy,12,51,0.07,0.65,-0.28,9.498423868084455
Strategy,12,61,0.07,0.65,-0.28,9.469115872954127
Strategy,17,113,0.07,0.62,-0.3,9.424713658577394
Strategy,15,117,0.07,0.63,-0.3,9.40870383785154
Strategy,16,107,0.07,0.63,-0.28,9.400844952952042
Strategy,16,109,0.07,0.63,-0.29,9.4003593350435
Strategy,16,108,0.07,0.63,-0.28,9.371461309929646
Strategy,10,50,0.07,0.65,-0.28,9.346321670331362
Strategy,17,112,0.07,0.62,-0.29,9.32120951834495
Strategy,27,122,0.07,0.59,-0.3,9.31886459856718
Strategy,16,81,0.07,0.63,-0.3,9.269755012490178
Strategy,13,60,0.07,0.64,-0.29,9.254755344550512
Strategy,16,119,0.07,0.62,-0.3,9.240673196470873
Strategy,12,54,0.07,0.64,-0.29,9.22764858859643
Strategy,12,55,0.07,0.64,-0.3,9.208127491834384
Strategy,27,121,0.07,0.59,-0.3,9.172350224107253
Strategy,28,123,0.07,0.59,-0.28,9.165267196020293
Strategy,16,118,0.07,0.62,-0.3,9.164167528548964
Strategy,16,114,0.07,0.62,-0.25,9.115613293150803
Strategy,13,52,0.07,0.64,-0.27,9.093709703197113
Strategy,15,59,0.07,0.63,-0.3,9.06996825386978
Strategy,16,115,0.07,0.61,-0.27,9.051519188497794
Strategy,16,113,0.07,0.61,-0.26,8.989814362069556
Strategy,12,52,0.07,0.63,-0.28,8.970884438489538
Strategy,13,53,0.07,0.63,-0.28,8.960608338034888
Strategy,16,116,0.07,0.61,-0.29,8.95661357419797
Strategy,11,57,0.07,0.64,-0.3,8.951017366782734
Strategy,11,52,0.07,0.63,-0.3,8.937040429172686
Strategy,16,111,0.07,0.61,-0.29,8.935935877068358
Strategy,13,51,0.07,0.63,-0.28,8.93230087589954
Strategy,16,110,0.07,0.61,-0.28,8.890235398762469
Strategy,32,62,0.07,0.61,-0.3,8.877457576909999
Strategy,17,111,0.07,0.61,-0.3,8.864989969180943
Strategy,16,112,0.07,0.61,-0.26,8.863086210751941
