,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
Strategy,29,90,0.07,0.58,-0.28,8.325601386822322
Strategy,30,88,0.07,0.58,-0.3,8.312418989015713
Strategy,27,120,0.07,0.56,-0.3,8.304540698584319
Strategy,17,109,0.07,0.59,-0.28,8.292189257782667
Strategy,18,60,0.07,0.6,-0.3,8.260224044239251
Strategy,14,51,0.07,0.6,-0.28,8.181476805484193
Strategy,27,119,0.06,0.55,-0.29,8.12348815469338
Strategy,17,108,0.07,0.58,-0.29,8.079586568571841
Strategy,30,117,0.06,0.55,-0.29,7.989971664817644
Strategy,27,74,0.06,0.57,-0.28,7.979460869151591
Strategy,18,108,0.06,0.57,-0.3,7.958287564768736
Strategy,17,105,0.06,0.57,-0.29,7.933369389870363
Strategy,13,50,0.06,0.6,-0.27,7.929814433951864
Strategy,18,107,0.06,0.57,-0.3,7.928555019508552
Strategy,17,106,0.06,0.57,-0.28,7.923832012948596
Strategy,29,87,0.06,0.57,-0.29,7.890748557941045
Strategy,14,53,0.06,0.59,-0.3,7.887878643585635
Strategy,27,75,0.06,0.57,-0.28,7.863855148401165
Strategy,29,88,0.06,0.57,-0.29,7.857846472799538
Strategy,29,91,0.06,0.56,-0.3,7.7637599110094655
Strategy,17,107,0.06,0.57,-0.3,7.736918761159733
Strategy,26,76,0.06,0.56,-0.3,7.716567541305846
Strategy,17,104,0.06,0.56,-0.3,7.668884637857623
Strategy,18,106,0.06,0.56,-0.3,7.648688307862282
Strategy,50,70,0.06,0.53,-0.28,7.517315272406331
Strategy,27,64,0.06,0.56,-0.3,7.454765773058325
Strategy,50,68,0.06,0.53,-0.29,7.355370502675911
Strategy,49,69,0.06,0.53,-0.28,7.335936789294468
Strategy,48,71,0.06,0.53,-0.3,7.325842182021879
Strategy,27,65,0.06,0.56,-0.3,7.302411895978419
Strategy,26,75,0.06,0.55,-0.29,7.250563891199459
Strategy,49,68,0.06,0.52,-0.28,7.223855297211134
Strategy,50,69,0.06,0.52,-0.28,7.204414855881568
Strategy,25,64,0.06,0.55,-0.3,7.180288159824997
Strategy,50,67,0.06,0.52,-0.3,7.15519555803787
Strategy,25,76,0.06,0.54,-0.3,7.104809303867742
Strategy,26,77,0.06,0.54,-0.3,7.047468017048526
Strategy,50,64,0.06,0.51,-0.3,7.041800669809659
Strategy,26,74,0.06,0.54,-0.29,7.000690805391407
Strategy,49,67,0.06,0.51,-0.28,6.966003577267318
Strategy,49,70,0.06,0.51,-0.29,6.833617103355733
Strategy,48,69,0.06,0.51,-0.29,6.820501132953567
Strategy,48,67,0.06,0.51,-0.28,6.788242985044469
Strategy,48,68,0.06,0.5,-0.28,6.595857576414998
Strategy,50,62,0.06,0.49,-0.29,6.514367684643439
Strategy,24,61,0.06,0.52,-0.3,6.486289462874829
Strategy,24,65,0.06,0.52,-0.3,6.463697154927346
Strategy,48,66,0.05,0.48,-0.29,6.170166622472307
Strategy,46,69,0.05,0.48,-0.3,6.151131428130119
Strategy,47,68,0.05,0.48,-0.3,6.113398471996523
Strategy,47,69,0.05,0.48,-0.29,6.066827478901691
Strategy,47,67,0.05,0.47,-0.28,5.951996649004708
Strategy,46,68,0.05,0.47,-0.3,5.9426507989462936
Strategy,49,62,0.05,0.46,-0.3,5.879749517876844
Strategy,49,64,0.05,0.46,-0.29,5.783962899953346
Strategy,49,63,0.05,0.46,-0.3,5.747035992449833
Strategy,47,65,0.05,0.46,-0.3,5.729854449242435
Strategy,47,64,0.05,0.46,-0.3,5.697986487017053
Strategy,48,60,0.05,0.46,-0.29,5.659041664195388
Strategy,48,59,0.05,0.45,-0.29,5.494439817091164
Strategy,46,67,0.05,0.45,-0.29,5.438592354251549
Strategy,49,61,0.05,0.44,-0.3,5.433006162686169
Strategy,45,68,0.05,0.44,-0.29,5.238592744238414
Strategy,45,66,0.05,0.41,-0.29,4.739193462468991
